Transcript.stable.ID	Gene.stable.ID	t5
ENSMUST00000000001	ENSMUSG00000000001	1.9597281751018201
ENSMUST00000000087	ENSMUSG00000000085	0.48968783698861201
ENSMUST00000000090	ENSMUSG00000000088	20.606646431274498
ENSMUST00000000175	ENSMUSG00000000171	8.2229971042532402
ENSMUST00000000188	ENSMUSG00000000184	2.4956529476971498
ENSMUST00000000193	ENSMUSG00000035385	0.38489455267418099
ENSMUST00000000199	ENSMUSG00000062661	3.0420227127587598
ENSMUST00000000284	ENSMUSG00000000275	1.0505472448226001
ENSMUST00000000291	ENSMUSG00000000282	0.239221775950367
ENSMUST00000000348	ENSMUSG00000000339	7.9922055737177899
ENSMUST00000000356	ENSMUSG00000000346	3.6024222320980699
ENSMUST00000000388	ENSMUSG00000000378	1.2210568900873999
ENSMUST00000000394	ENSMUSG00000000384	2.2369363759583698
ENSMUST00000000449	ENSMUSG00000000439	4.2961935514795098
ENSMUST00000000451	ENSMUSG00000000441	4.9309885942941802
ENSMUST00000000476	ENSMUSG00000029231	0.61334479408686604
ENSMUST00000000505	ENSMUSG00000029730	6.9143816480320899
ENSMUST00000000579	ENSMUSG00000000567	0.19037561254530799
ENSMUST00000000590	ENSMUSG00000032050	--
ENSMUST00000000594	ENSMUSG00000000581	3.3341247377204302
ENSMUST00000000642	ENSMUSG00000000628	0.44412101002925503
ENSMUST00000000727	ENSMUSG00000000711	3.3376805361755402
ENSMUST00000000756	ENSMUSG00000000740	100
ENSMUST00000000767	ENSMUSG00000000751	8.5658933669822304
ENSMUST00000000793	ENSMUSG00000000776	0.61587132333442995
ENSMUST00000000844	ENSMUSG00000000827	8.5798235718427591
ENSMUST00000000985	ENSMUSG00000000959	8.6717347720754407
ENSMUST00000001042	ENSMUSG00000001016	9.5511529904795704
ENSMUST00000001043	ENSMUSG00000001017	2.6993324217550501
ENSMUST00000001046	ENSMUSG00000001020	--
ENSMUST00000001051	ENSMUSG00000001025	100
ENSMUST00000001127	ENSMUSG00000001100	5.9816264702093296
ENSMUST00000001186	ENSMUSG00000001158	8.8150877037662507
ENSMUST00000001187	ENSMUSG00000029994	16.243158136090202
ENSMUST00000001204	ENSMUSG00000001175	6.8961588783025203
ENSMUST00000001319	ENSMUSG00000001300	0.28534420955000001
ENSMUST00000001326	ENSMUSG00000001280	0.68419878349693697
ENSMUST00000001416	ENSMUSG00000001380	12.4958302666184
ENSMUST00000001419	ENSMUSG00000001383	5.8833685904533901
ENSMUST00000001452	ENSMUSG00000001416	7.8424266305874202
ENSMUST00000001460	ENSMUSG00000001424	13.3909603422512
ENSMUST00000001479	ENSMUSG00000001440	4.8745323454057399
ENSMUST00000001485	ENSMUSG00000001445	9.57089552449035
ENSMUST00000001507	ENSMUSG00000001467	1.8020044077052999
ENSMUST00000001513	ENSMUSG00000001473	0.76623470290019002
ENSMUST00000001562	ENSMUSG00000001521	3.5464199112121602
ENSMUST00000001611	ENSMUSG00000001569	1.28198754604457
ENSMUST00000001672	ENSMUSG00000001627	0.84126137802793
ENSMUST00000001675	ENSMUSG00000001630	1.0776768272438599
ENSMUST00000001724	ENSMUSG00000001674	4.6386287287466699
ENSMUST00000001757	ENSMUSG00000001707	1.5337049396892
ENSMUST00000001780	ENSMUSG00000001729	14.680101206600799
ENSMUST00000001836	ENSMUSG00000001785	2.02965246802674
ENSMUST00000001950	ENSMUSG00000025139	1.1038714997655401
ENSMUST00000001975	ENSMUSG00000001910	1.05644634320581
ENSMUST00000002029	ENSMUSG00000001964	10.652072102511401
ENSMUST00000002198	ENSMUSG00000002129	2.54863337269123
ENSMUST00000002284	ENSMUSG00000046223	0.44339407801695402
ENSMUST00000002303	ENSMUSG00000002233	9.5709284526214802
ENSMUST00000002360	ENSMUSG00000002289	0.171205940208878
ENSMUST00000002368	ENSMUSG00000002297	1.39483259769061
ENSMUST00000002466	ENSMUSG00000002393	2.8298955029410799
ENSMUST00000002551	ENSMUSG00000002477	3.7515095952961901
ENSMUST00000002677	ENSMUSG00000002602	20.313351704094
ENSMUST00000002699	ENSMUSG00000024045	1.89712084335243
ENSMUST00000002818	ENSMUSG00000002741	3.02766758695984
ENSMUST00000002855	ENSMUSG00000002778	7.0596504430706197
ENSMUST00000002923	ENSMUSG00000002844	6.3132289300491804
ENSMUST00000003115	ENSMUSG00000003031	0.36044257292986198
ENSMUST00000003121	ENSMUSG00000003037	3.7053264261265899
ENSMUST00000003123	ENSMUSG00000003039	3.4975004087772299
ENSMUST00000003438	ENSMUSG00000003348	0.30738674585650699
ENSMUST00000003536	ENSMUSG00000003444	5.0043999722913899
ENSMUST00000003575	ENSMUSG00000031799	5.4231563037164703
ENSMUST00000003612	ENSMUSG00000003518	0.83900228376067298
ENSMUST00000003628	ENSMUSG00000003534	1.9372432474471499
ENSMUST00000003635	ENSMUSG00000003541	0.1
ENSMUST00000003726	ENSMUSG00000024002	1.5223860627671499
ENSMUST00000003759	ENSMUSG00000003662	3.5848512801283401
ENSMUST00000003870	ENSMUSG00000025025	2.148828729141
ENSMUST00000003912	ENSMUSG00000003814	6.5766572596587896
ENSMUST00000003946	ENSMUSG00000003848	3.6890471704002898
ENSMUST00000004050	ENSMUSG00000003948	3.5977838459034901
ENSMUST00000004072	ENSMUSG00000003970	24.643962840031801
ENSMUST00000004172	ENSMUSG00000004070	2.9145065026069998
ENSMUST00000004173	ENSMUSG00000004071	1.51233081870305
ENSMUST00000004200	ENSMUSG00000004096	9.9004908106045306
